,Company name,CEO
0,CONG TY TNHH SAMSUNG ELECTRONICS VIET NAM THAI NGUYEN ,['>Kim Dongwook<']
1,TAP DOAN DIEN LUC VIET NAM ,['>Trần Đ&#236;nh Nh&#226;n<']
2,TAP DOAN DAU KHI VIET NAM ,['>L&#234; Mạnh H&#249;ng<']
3,TAP DOAN CONG NGHIEP  VIEN THONG QUAN DOI ,['>L&#234; Đăng Dũng<']
4,TAP DOAN VINGROUP  CTCP ,['>Nguyễn Việt Quang<']
5,NGAN HANG NONG NGHIEP VA PHAT TRIEN NONG THON VIET NAM ,['>Tiết Văn Th&#224;nh<']
6,TAP DOAN XANG DAU VIET NAM ,['>Phạm Đức Thắng<']
7,NGAN HANG TMCP DAU TU VA PHAT TRIEN VIET NAM ,['>L&#234; Ngọc L&#226;m<']
8,CONG TY CP DAU TU THE GIOI DI DONG ,['>Trần Kinh Doanh<']
9,TAP DOAN CONG NGHIEP THAN  KHOANG SAN VIET NAM ,['>Đặng Thanh Hải<']
10,CONG TY CP TAP DOAN VANG BAC DA QUY DOJI ,['>Đỗ Minh Đức<']
11,NGAN HANG TMCP CONG THUONG VIET NAM ,['>Trần Minh B&#236;nh<']
12,CONG TY CP TAP DOAN HOA PHAT ,['>Nguyễn Việt Thắng<']
13,NGAN HANG TMCP NGOAI THUONG VIET NAM ,['>Phạm Quang Dũng<']
14,CONG TY CP TAP DOAN MASAN  ,['>Danny L&#234;<']
15,CONG TY CP CHAN NUOI CP VIET NAM ,['>Montri Suwanposri<']
16,TONG CONG TY KHI VIET NAM  CTCP ,['>Ho&#224;ng Văn Quang <']
17,CONG TY CP OTO TRUONG HAI  ,['>Nguyễn H&#249;ng Minh<']
18,NGAN HANG TMCP VIET NAM THINH VUONG ,['>Nguyễn Đức Vinh<']
19,CONG TY CP SUA VIET NAM ,['>Mai Kiều Li&#234;n<']
20,TAP DOAN BUU CHINH VIEN THONG VIET NAM ,['>Phạm Đức Long<']
21,NGAN HANG TMCP SAI GON ,['>Trương Kh&#225;nh Ho&#224;ng <']
22,NGAN HANG TMCP QUAN DOI ,['>Lưu Trung Th&#225;i<']
23,TAP DOAN BAO VIET ,['>Nguyễn Quang Phi<']
24,CONG TY CP TAP DOAN THANH CONG ,['>Nguyễn Anh Tuấn<']
25,TONG CONG TY HANG KHONG VIET NAM  CTCP ,['>L&#234; Hồng H&#224;<']
26,TONG CONG TY DICH VU VIEN THONG ,['>Nguyễn Trường Giang<']
27,NGAN HANG TMCP KY THUONG VIET NAM  ,['>Jens Lottner<']
28,NGAN HANG TMCP SAI GON THUONG TIN ,['>Nguyễn Đức Thạch Diễm<']
29,TONG CONG TY PHAT DIEN 3  CTCP ,['>L&#234; Văn Danh<']
30,TONG CONG TY PHAT DIEN 1 ,['>Nguyễn Khắc Sơn<']
31,CONG TY TNHH INTEL PRODUCTS VIET NAM ,['>Ooi Kim Huat<']
32,CONG TY CP TAP DOAN INTIMEX ,['>Đỗ H&#224; Nam<']
33,NGAN HANG TMCP A CHAU ,['>Đỗ Minh To&#224;n<']
34,TONG CONG TY BAO VIET NHAN THO ,['>Phạm Ngọc Sơn<']
35,CONG TY TNHH BAO HIEM NHAN THO PRUDENTIAL VIET NAM ,['>Phương Tiến Minh<']
36,NGAN HANG TMCP SAI GON  HA NOI ,['>Nguyễn Văn L&#234;<']
37,LIEN HIEP HOP TAC XA THUONG MAI TP HO CHI MINH COOP MART ,['>Nguyễn Anh Đức<']
38,CONG TY TNHH QUOC TE UNILEVER VIET NAM ,['>JV Raman<']
39,TONG CONG TY VIEN THONG MOBIFONE ,['>T&#244; Mạnh Cường<']
40,TONG CONG TY THEP VIET NAM  CTCP ,['>Nguyễn Đ&#236;nh Ph&#250;c<']
41,CONG TY CP FPT ,['>Nguyễn Văn Khoa<']
42,TONG CONG TY DIEN LUC DAU KHI VIET NAM  CTCP ,['>Nguyễn Xu&#226;n H&#242;a<']
43,TONG CONG TY CP BIA RUOU NUOC GIAI KHAT SAI GON  ,['>Neo Gim Siong Bennett<']
44,TONG CONG TY XI MANG VIET NAM ,['>B&#249;i Hồng Minh<']
45,CONG TY CP TAP DOAN HOA SEN ,['>Trần Quốc Tr&#237; <']
46,TONG CONG TY PHAT DIEN 2  CTCP ,['>Ng&#244; Việt Hải<']
47,LIEN DOANH VIET  NGA VIETSOVPETRO ,['>Nguyễn Quỳnh L&#226;m<']
48,TAP DOAN CONG NGHIEP CAO SU VIET NAM  CTCP ,['>Huỳnh Văn Bảo<']
49,NGAN HANG TMCP PHAT TRIEN TP HO CHI MINH ,['>Phạm Quốc Thanh<']
50,CONG TY TNHH MTV VANG BAC DA QUY SAI GON  SJC ,['>L&#234; Th&#250;y Hằng<']
51,CONG TY CP HANG TIEU DUNG MASAN MASAN CONSUMER ,['>Trương C&#244;ng Thắng<']
52,CONG TY TNHH MTV TONG CONG TY TAN CANG SAI GON ,['>Ng&#244; Minh Thuấn<']
53,TONG CONG TY BUU DIEN VIET NAM ,['>Chu Quang H&#224;o<']
54,CONG TY TNHH ZUELLIG PHARMA VIET NAM ,['>Charles Antoine Gloor<']
55,TONG CONG TY CP DICH VU KY THUAT DAU KHI VIET NAM ,['>L&#234; Mạnh Cường<']
56,CONG TY CP HANG KHONG VIETJET ,['>Nguyễn Thị Phương Thảo<']
57,NGAN HANG TMCP QUOC TE VIET NAM ,['>H&#224;n Ngọc Vũ<']
58,TONG CONG TY CP DAU TU QUOC TE VIETTEL ,['>Nguyễn Duy Thọ<']
59,CONG TY CP TAP DOAN HOA BINH MINH ,['>B&#249;i Minh Lực<']
60,CONG TY TNHH ONG THEP HOA PHAT ,['>Nguyễn Mạnh Tuấn<']
61,CONG TY TNHH NUOC GIAI KHAT SUNTORY PEPSICO VIET NAM ,['>Uday Shankar Sinha<']
62,TONG CONG TY THUOC LA VIET NAM ,['>Trần Sơn Ch&#226;u<']
63,NGAN HANG TMCP BUU DIEN LIEN VIET ,['>Phạm Do&#227;n Sơn<']
64,CONG TY CP TAP DOAN FLC ,['>Hương Trần Kiều Dung<']
65,CONG TY CP TAP DOAN GELEX ,['>Nguyễn Văn Tuấn<']
66,TONG CONG TY DONG BAC ,['>Phạm Ngọc Tuyển<']
67,NGAN HANG TMCP TIEN PHONG ,['>Nguyễn Hưng<']
68,CONG TY TAI CHINH TNHH NGAN HANG VIET NAM THINH VUONG SMBC ,['>Kalidas Ghose<']
69,TONG CONG TY TRUYEN TAI DIEN QUOC GIA ,['>Nguyễn Mạnh H&#249;ng<']
70,CONG TY CP STAVIAN HOA CHAT ,['>Nguyễn Minh T&#250;<']
71,TAP DOAN CENTRAL RETAIL VIET NAM ,['>Olivier Langlet<']
72,CONG TY CP VANG BAC DA QUY PHU NHUAN ,['>L&#234; Tr&#237; Th&#244;ng<']
73,CONG TY CP GIAI PHAP THANH TOAN VIET NAM ,['>L&#234; T&#225;nh<']
74,CONG TY TNHH OLAM VIET NAM ,['>Amit Verma<']
75,TONG CONG TY CP BUU CHINH VIETTEL ,['>Trần Trung Hưng<']
76,CONG TY CP MASAN MEATLIFE ,['>Phạm Trung L&#226;m<']
77,CONG TY TNHH BAO HIEM NHAN THO DAIICHI VIET NAM ,['>Trần Đ&#236;nh Qu&#226;n<']
78,CONG TY CP TAP DOAN THEP NGUYEN MINH ,['>Nguyễn Minh Huy<']
79,CONG TY CP TAP DOAN VAS NGHI SON ,['>Nguyễn Bảo Giang<']
80,CONG TY TNHH CALOFIC ,['>Vũ Văn Ph&#250;<']
81,CONG TY CP DICH VU TONG HOP SAI GON ,['>Phan Dương Cửu Long<']
82,CONG TY TNHH CJ VINA AGRI ,['>Nam Ki Don<']
83,CONG TY CP DAU TU THUONG MAI SMC ,['>Nguyễn Thị Ngọc Loan<']
84,CONG TY TNHH BAO HIEM NHAN THO AIA VIET NAM ,['>Wayne Besant<']
85,CONG TY CP THANH THANH CONG  BIEN HOA ,['>&#212;ng Nguyễn Thanh Ngữ<']
86,CONG TY TNHH CARGILL VIET NAM ,['>Jorge Becerra <']
87,CONG TY CP HYUNDAI THANH CONG VIET NAM ,['>Trần Hữu Ph&#250;<']
88,CONG TY CP DUOC LIEU TRUNG UONG 2  ,['>Nguyễn C&#244;ng Chiến<']
89,TONG CONG TY LUONG THUC MIEN BAC ,['>B&#249;i Thị Thanh T&#226;m<']
90,CONG TY CP BAN LE KY THUAT SO FPT ,['>Ho&#224;ng Trung Ki&#234;n<']
91,CONG TY CP XAY DUNG COTECCONS ,['>N.A<']
92,CONG TY TNHH HAI LINH ,['>L&#234; Văn T&#225;m<']
93,CONG TY TNHH YAMAHA MOTOR VIET NAM ,['>Masaki Asano <']
94,CONG TY CP TAP DOAN THUY SAN MINH PHU ,['>L&#234; Văn Quang<']
95,TAP DOAN DET MAY VIET NAM  ,['>L&#234; Tiến Trường<']
96,NGAN HANG TMCP PHUONG DONG ,['>Nguyễn Đ&#236;nh T&#249;ng<']
97,CONG TY TNHH DE HEUS ,['>Gabor Fluit<']
98,CONG TY TNHH MM MEGA MARKET VIET NAM ,['>Bruno Jousselin<']
99,CONG TY TNHH JAPFA COMFEED VIET NAM ,['>Arif Widjaja<']
100,TONG CONG TY CP DICH VU TONG HOP DAU KHI ,['>Vũ Tiến Dương<']
101,TONG CONG TY VAT TU NONG NGHIEP ,['>Nguyễn Tất Thắng<']
102,NGAN HANG TMCP HANG HAI VIET NAM  ,['>Nguyễn Ho&#224;ng Linh<']
103,CONG TY CP TAP DOAN SAO MAI ,['>L&#234; Thanh Thuấn<']
104,CONG TY CP THE GIOI SO  ,['>Đo&#224;n Hồng Việt<']
105,NGAN HANG TMCP DONG NAM A ,['>L&#234; Thu Thủy<']
106,NGAN HANG TMCP DAI CHUNG VIET NAM ,['>Nguyễn Ho&#224;ng Nam<']
107,NGAN HANG TMCP XUAT NHAP KHAU VIET NAM ,['>Nguyễn Quốc Hương<']
108,CONG TY TNHH DIEN LUC AES MONG DUONG ,['>David Stone<']
109,CONG TY CP THUONG MAI THAI HUNG  ,['>Nguyễn Thị Vinh<']
110,CONG TY TNHH THUONG MAI VA DUOC PHAM SANG ,['>L&#234; Quỳnh Li&#234;n<']
111,CONG TY CP TON DONG A ,['>Nguyễn Thanh Trung<']
112,CONG TY CP VIEN THONG FPT ,['>Ho&#224;ng Việt Anh<']
113,CONG TY CP ACECOOK VIET NAM  ,['>Kajiwara Junichi<']
114,TONG CONG TY BAO HIEM BAO VIET ,['>Nguyễn Xu&#226;n Việt<']
115,CONG TY CP TAP DOAN DAU TU DIA OC NO VA ,['> B&#249;i Xu&#226;n Huy<']
116,CONG TY CP THEP NAM KIM ,['>V&#245; Ho&#224;ng Vũ <']
117,CONG TY CP TAP DOAN XAY DUNG HOA BINH ,['>L&#234; Viết Hiếu<']
118,CONG TY TNHH NHA NUOC MTV THUONG MAI VA XUAT NHAP KHAU VIETTEL  ,['>Phạm Văn H&#249;ng<']
119,CONG TY CP VIET  PHAP SAN XUAT THUC AN GIA SUC PROCONCO ,['>Nguyễn Thị Lệ Hồng<']
120,TONG CONG TY HANG HAI VIET NAM  CTCP ,['>Nguyễn Cảnh Tĩnh<']
121,CONG TY TNHH UNIPRESIDENT VIET NAM  ,['>Chen I Shen<']
122,CONG TY CP DAY CAP DIEN VIET NAM ,['>L&#234; Quang Định<']
123,CONG TY CP GREENFEED VIET NAM ,['>Đỗ Cao Bằng<']
124,TONG CONG TY THUONG MAI XUAT NHAP KHAU THANH LE  CTCP ,['>Đo&#224;n Minh Quang<']
125,CONG TY CP TAP DOAN TT ,['>Đỗ Quang Hiển<']
126,CONG TY CP TAP DOAN DABACO VIET NAM ,['>Nguyễn Khắc Thảo<']
127,TONG CONG TY THUONG MAI SAI GON  TNHH MTV ,['>L&#234; Minh Trang<']
128,NGAN HANG TMCP BAC A ,['>Th&#225;i Hương<']
129,TONG CONG TY CANG HANG KHONG VIET NAM  CTCP ,['>Vũ Thế Phiệt<']
130,CONG TY CP THEP POMINA ,['>Đỗ Văn Kh&#225;nh<']
131,CONG TY CP PVI ,['>B&#249;i Vạn Thuận<']
132,CONG TY CP THUC PHAM SUA TH ,['>Rami Hamad<']
133,NGAN HANG TMCP NAM A ,['>Trần Ngọc T&#226;m<']
134,CONG TY TNHH TAP DOAN BIM ,['>Đo&#224;n Quốc Huy<']
135,CONG TY CP SAN XUAT THEP VINA ONE ,['>Huỳnh Nghĩa Thiện<']
136,TONG CONG TY VIGLACERA  CTCP ,['>Nguyễn Anh Tuấn<']
137,CONG TY CP GANG THEP THAI NGUYEN  ,['>Nguyễn Minh Hạnh<']
138,CONG TY CP CANG RAU QUA ,['>Đặng Như B&#236;nh<']
139,CONG TY CP DAIKIN AIR CONDITIONING VIETNAM ,['>L&#253; Thị Phương Trang<']
140,CONG TY CP MASAN HIGHTECH MATERIALS ,['>Craig Richard Bradshaw<']
141,CONG TY TNHH THUONG MAI VA DICH VU PHAT TIEN ,['>Hồ Minh Tr&#237;<']
142,TONG CONG TY BAO HIEM PVI ,['>Phạm Anh Đức<']
143,CONG TY CP DET TEXHONG NHON TRACH ,['>Zhou Bo Qin<']
144,CONG TY CP TAP DOAN PAN ,['>Nguyễn Tr&#224; My<']
145,CONG TY CP THEP TVP ,['>Ninh Thị B&#237;ch Th&#249;y<']
146,CONG TY CP TAP DOAN AN PHAT HOLDINGS ,['>Đinh Xu&#226;n Cường <']
147,CONG TY CP VINCOM RETAIL ,['>Trần Mai Hoa<']
148,CONG TY TNHH MTV DICH VU CO KHI HANG HAI PTSC ,['>Đồng Xu&#226;n Thắng<']
149,TONG CONG TY CP XUAT NHAP KHAU VA XAY DUNG VIET NAM ,['>Nguyễn Xu&#226;n Đ&#244;ng<']
150,CONG TY CP TAP DOAN KIDO ,['>Trần Lệ Nguy&#234;n<']
151,CONG TY CP MEDIAMART VIET NAM ,['>L&#234; Quang Vũ<']
152,CONG TY TNHH HAO HUNG ,['>Thang Văn H&#243;a<']
153,TAP DOAN GELEXIMCO  CTCP ,['>Vũ Văn Tiền<']
154,CONG TY CP XI MANG HA TIEN 1 ,['>Lưu Đ&#236;nh Cường<']
155,CONG TY CP DAU TU THAI BINH ,['>Nguyễn Đức Thuấn <']
156,CONG TY CP DICH VU PHAN PHOI TONG HOP DAU KHI ,['>Vũ Tiến Dương<']
157,NGAN HANG TMCP AN BINH ,['>L&#234; Hải<']
158,TONG CONG TY PHAN BON VA HOA CHAT DAU KHI  CTCP ,['>L&#234; Cự T&#226;n<']
159,CONG TY TNHH DENSO VIET NAM  ,['>Mitsuo Ota<']
160,CONG TY TNHH DICH VU VA THUONG MAI MESA  ,['>Lưu Tuyết Mai<']
161,CONG TY CP TAP DOAN DAU TU XAY DUNG RICONS ,['>Trần Quang Qu&#226;n<']
162,TONG CONG TY CP BIA  RUOU  NUOC GIAI KHAT HA NOI ,['>Ng&#244; Quế L&#226;m<']
163,TONG CONG TY DAU TU VA KINH DOANH VON NHA NUOCCONG TY TNHH ,['>Nguyễn Ch&#237; Th&#224;nh<']
164,NGAN HANG TNHH MTV SHINHAN VIET NAM ,['>Shin Dong Min<']
165,CONG TY CP PHAN BON DAU KHI CA MAU ,['>Văn Tiến Thanh<']
166,CONG TY CP TAP DOAN LOC TROI ,['>Nguyễn Duy Thuận<']
167,TONG CONG TY CP VAN TAI DAU KHI ,['>Phạm Việt Anh<']
168,CONG TY CP NHUA AN PHAT XANH ,['>Đinh Xu&#226;n Cường<']
169,CONG TY CP TONG CONG TY TIN NGHIA ,['>Nguyễn Văn Hồng <']
170,CONG TY CP PHAN PHOI KHI THAP AP DAU KHI VIET NAM ,['>Trần Thanh Nam<']
171,CONG TY CP VINH HOAN ,['>Nguyễn Ng&#244; Vi T&#226;m<']
172,CONG TY CP HUU HAN VEDAN VIET NAM ,['>Yang Kun Hsiang<']
173,CONG TY TNHH AEON VIET NAM ,['>Yasuo Nishitohge<']
174,CONG TY CP GIAO HANG TIET KIEM ,['>Phạm Hồng Qu&#226;n<']
175,TONG CONG TY CP MAY VIET TIEN ,['>B&#249;i Văn Tiến<']
176,TONG CONG TY XAY DUNG SO 1  CTCP ,['>L&#234; Hữu Việt Đức<']
177,CONG TY TNHH FRIESLANDCAMPINA VIET NAM ,['>Berend van Wel<']
178,CONG TY CP HIM LAM ,['>Dương C&#244;ng H&#249;ng<']
179,CONG TY CP THUY SAN SOC TRANG ,['>Trần Văn Phẩm<']
180,TONG CONG TY KHANH VIET ,['>L&#234; Tiến Anh<']
181,CONG TY CP DAU TU HA TANG KY THUAT TP HO CHI MINH ,['>L&#234; Quốc B&#236;nh<']
182,TONG CONG TY DAU TU VA PHAT TRIEN CONG NGHIEP  CTCP ,['>Phạm Ngọc Thuận<']
183,CONG TY CP XAY LAP DIEN I ,['>Trịnh Văn Tuấn<']
184,CONG TY TNHH DAU TU SAN XUAT THUONG MAI DICH VU PHAN MINH ,['>Phan H&#249;ng Minh<']
185,CONG TY CP DUONG QUANG NGAI ,['>V&#245; Th&#224;nh Đ&#224;ng<']
186,CONG TY CP ONG THEP VIET  DUC VG PIPE ,['>Nguyễn Hữu Thể<']
187,CONG TY TNHH KIMBERLY CLARK VIET NAM ,['>Kate Good Man<']
188,CONG TY TNHH FURUKAWA AUTOMOTIVE PARTS VIETNAM ,['>Morishima Takao<']
189,TONG CONG TY DAU TU PHAT TRIEN NHA VA DO THI HUD ,['>Nguyễn Đức H&#249;ng<']
190,CONG TY CP DAU TU VA PHAT TRIEN DA QUOC GIA IDI ,['>L&#234; Văn Chung<']
191,TONG CONG TY CP CONG TRINH VIETTEL ,['>Phạm Đ&#236;nh Trường<']
192,NGAN HANG TMCP QUOC DAN ,['>Phạm Thế Hiệp<']
193,NGAN HANG TMCP VIET A ,['>Nguyễn Văn Trọng<']
194,TONG CONG TY SONG DA  CTCP ,['>Hồ Văn Dũng<']
195,CONG TY CP VNG ,['>L&#234; Hồng Minh<']
196,CONG TY TNHH EXPEDITORS VIET NAM ,['>Michael Joseph Mooney<']
197,NGAN HANG TMCP VIET NAM THUONG TIN ,['>L&#234; Huy Dũng<']
198,CONG TY TNHH THUONG MAI VHC SIEU THI DIEN MAY HC ,['>Nguyễn Ho&#224;ng Hải<']
199,CONG TY CP TETRA PAK VIET NAM ,['>Fehmi Nejat Caliskan<']
200,TONG CONG TY LAP MAY VIET NAMCONG TY TNHH MTV ,['>L&#234; Văn Tuấn<']
201,CONG TY CP KIM LOAI MAU VA NHUA DONG VIET ,['>Chinawat Assavapokee<']
202,CONG TY CP DIEN LUC DAU KHI NHON TRACH 2 ,['> Ng&#244; Đức Nh&#226;n<']
203,TONG CONG TY CAP NUOC SAI GON  TNHH MTV ,['>Hồ Văn L&#226;m<']
204,CONG TY TNHH THUC PHAM ORION VINA ,['>Kang Weon Kee<']
205,CONG TY CP XI MANG XUAN THANH ,['>Nguyễn Xu&#226;n Thủy <']
206,CONG TY CP CO DIEN LANH ,['>Huỳnh Thanh Hải<']
207,CONG TY CP DAU TU THANH THANH CONG ,['>Huỳnh B&#237;ch Ngọc<']
208,CONG TY CP CITY AUTO ,['>Trần Ngọc D&#226;n<']
209,CONG TY CP THUONG MAI KIEN GIANG ,['>Phạm Văn Ho&#224;ng<']
210,CONG TY CP DAU TU SAI GON VRG ,['>Trần Mạnh H&#249;ng<']
211,CONG TY CP VICOSTONE ,['>Phạm Anh Tuấn<']
212,TONG CONG TY CO KHI GIAO THONG VAN TAI SAI GON  TNHH MTV ,['>Trần Quốc Toản<']
213,TONG CONG TY HOA DAU PETROLIMEX  CTCP ,['>L&#234; Quang Tuấn<']
214,CONG TY CP HOA DAU QUAN DOI MIPEC ,['>Dư Cao Sơn<']
215,CONG TY CP DAI TAN VIET ,['>Didier Lachize<']
216,CONG TY CP PHU TAI ,['>L&#234; Văn Thảo<']
217,CONG TY LIEN DOANH SAN XUAT THEP VINAUSTEEL ,['>Trần Tuấn Anh<']
218,CONG TY TNHH THUONG MAI KHATOCO ,['>Nguyễn Đ&#236;nh Thạch<']
219,CONG TY CP DICH VU O TO HANG XANH ,['>Nguyễn Thị Ngọc B&#237;ch<']
220,CONG TY CP QUOC TE SON HA ,['>L&#234; Ho&#224;ng H&#224;<']
221,CONG TY TNHH DAU TU XAY DUNG UNICONS ,['>V&#245; Ho&#224;ng L&#226;m<']
222,CONG TY CP PHAN BON BINH DIEN ,['>Ng&#244; Văn Đ&#244;ng<']
223,TONG CONG TY CP KHOAN VA DICH VU KHOAN DAU KHI ,['>Nguyễn Xu&#226;n Cường<']
224,CONG TY TNHH SIAM CITY CEMENT VIETNAM INSEE ,['>Philippe Bernard Richart<']
225,TONG CONG TY DUOC VIET NAM  CTCP ,['>Đinh Xu&#226;n Hấn<']
226,CONG TY CP DAU THUC VAT TUONG AN ,['>B&#249;i Thanh T&#249;ng<']
227,CONG TY TNHH URC VIET NAM ,['>Mr.Jean-Pierre “Jai” Gamboa<']
228,CONG TY CP TAP DOAN ECOPARK ,['>Trần Quốc Việt<']
229,CONG TY TNHH MTV HERBALIFE VIET NAM ,['>Vũ Văn Thắng<']
230,TONG CONG TY CP PHAT TRIEN KHU CONG NGHIEP ,['>Trần Thanh Hải<']
231,CONG TY CP TAP DOAN CONG NGHE CMC ,['>Nguyễn Trung Ch&#237;nh <']
232,CONG TY CP GIAO NHAN VA VAN CHUYEN IN DO TRAN ,['>Trần Tuấn Anh<']
233,CONG TY CP THUONG MAI XUAT NHAP KHAU THIEN NAM ,['>Vương Quang Diệu <']
234,CONG TY CP VIET NAM KY NGHE SUC SAN VISSAN ,['>Nguyễn Ngọc An<']
235,CONG TY CP SAN XUAT NHUA DUY TAN ,['>Trần Duy Hy<']
236,CONG TY CP TAP DOAN KIM TIN ,['>Nguyễn Tiến Hải<']
237,CONG TY TNHH XUAT NHAP KHAU CA PHE MINH TIEN ,['>Nguyễn Thị Hồng Minh<']
238,CONG TY TNHH TAP DOAN XAY DUNG DELTA ,['>Trần Th&#224;nh Vinh<']
239,CONG TY CP KINH DOANH KHI  MIEN NAM ,['>Nguyễn Ngọc Luận<']
240,CONG TY CP XAY DUNG CENTRAL ,['>Trần Quang Tuấn<']
241,CONG TY CP THEP VA THUONG MAI HA NOI ,['>Đ&#224;o Quang Tiến<']
242,NGAN HANG TNHH MTV HSBC VIET NAM ,['>Sumit Dutta<']
243,CONG TY CP TAP DOAN HA DO ,['>Nguyễn Trọng Th&#244;ng<']
244,CONG TY CP GIAO NHAN TOAN CAU DHL VIET NAM ,['>Cl&#233;ment Marie Blanc<']
245,CONG TY CP XUAT NHAP KHAU NHAT THANH ,['>Nguyễn Thọ Anh<']
246,CONG TY CP NONG SAN THUC PHAM QUANG NGAI  ,['>V&#245; Văn Danh<']
247,CONG TY CP THUONG MAI THANH THANH CONG ,['>Phan Vũ H&#249;ng<']
248,TONG CONG TY CP BAO HIEM BUU DIEN ,['>B&#249;i Xu&#226;n Thu<']
249,CONG TY TNHH LE LONG VIET NAM ,['>Lee Jui Chun<']
250,CONG TY CP BONG DEN PHICH NUOC RANG DONG ,['>Nguyễn Đo&#224;n Thăng<']
